<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SET100,20150427,10:37:00,2287.56,2290.06,2287.56,2290.06,4280000
SET100,20150427,10:38:00,2290.14,2290.26,2289.18,2289.18,5944000
SET100,20150427,10:39:00,2289.63,2290.56,2289.63,2290.56,3433000
SET100,20150427,10:40:00,2288.75,2290.43,2288.75,2289.66,1867000
SET100,20150427,10:41:00,2289.03,2289.44,2288.99,2289.14,1356000
SET100,20150427,10:42:00,2289.94,2290.46,2289.94,2290.08,8795000
SET100,20150427,10:43:00,2290.37,2290.37,2289.87,2289.87,5673000
SET100,20150427,10:44:00,2290.92,2290.92,2289.83,2290.10,2156000
SET100,20150427,10:45:00,2290.37,2291.14,2290.00,2290.00,2753000
SET100,20150427,10:46:00,2290.77,2291.08,2290.76,2291.08,2623000
SET100,20150427,10:47:00,2290.73,2290.73,2288.61,2288.61,2113000
SET100,20150427,10:48:00,2289.63,2291.54,2289.63,2290.49,2458000
SET100,20150427,10:49:00,2290.58,2291.54,2290.58,2291.54,2986000
SET100,20150427,10:50:00,2291.52,2292.49,2291.41,2292.49,6567000
SET100,20150427,10:51:00,2294.00,2294.39,2293.11,2293.11,11234000
SET100,20150427,10:52:00,2293.24,2293.62,2293.24,2293.61,10725000
SET100,20150427,10:53:00,2293.53,2294.34,2293.53,2294.34,2004000
SET100,20150427,10:54:00,2294.79,2294.81,2294.61,2294.81,10432000
SET100,20150427,10:55:00,2294.17,2294.47,2293.84,2294.33,5740000
SET100,20150427,10:56:00,2294.17,2294.17,2292.60,2294.10,3893000
SET100,20150427,10:57:00,2294.53,2294.57,2294.24,2294.49,3875000
SET100,20150427,10:58:00,2295.02,2295.23,2294.80,2295.23,2288000
SET100,20150427,10:59:00,2294.54,2294.61,2293.69,2294.17,8599000
SET100,20150427,11:00:00,2294.74,2295.26,2294.74,2295.08,6312000
SET100,20150427,11:01:00,2296.45,2296.54,2295.70,2295.80,1784000
SET100,20150427,11:02:00,2295.80,2296.94,2295.80,2296.06,1489000
SET100,20150427,11:03:00,2296.50,2297.76,2296.40,2296.66,2234000
SET100,20150427,11:04:00,2296.71,2297.93,2296.71,2297.93,17209000
SET100,20150427,11:05:00,2297.06,2298.26,2297.06,2298.26,15749000
SET100,20150427,11:06:00,2296.74,2296.74,2295.86,2296.29,1839000
SET100,20150427,11:07:00,2296.16,2296.57,2295.61,2295.61,1960000
SET100,20150427,11:08:00,2295.14,2296.84,2295.14,2296.03,2679000
SET100,20150427,11:09:00,2297.10,2297.10,2295.27,2295.27,2855000
SET100,20150427,11:10:00,2296.96,2297.04,2295.74,2295.74,1545000
SET100,20150427,11:11:00,2297.37,2297.37,2296.15,2296.15,1211000
SET100,20150427,11:12:00,2295.07,2295.90,2294.41,2294.41,6686000
SET100,20150427,11:13:00,2293.82,2294.30,2292.99,2292.99,9348000
SET100,20150427,11:14:00,2293.71,2293.71,2292.91,2292.91,1774000
SET100,20150427,11:15:00,2293.95,2293.95,2292.87,2293.59,1603000
SET100,20150427,11:16:00,2293.45,2293.45,2292.20,2292.20,7110000
SET100,20150427,11:17:00,2292.23,2293.24,2292.23,2293.24,2774000
SET100,20150427,11:18:00,2292.60,2293.11,2292.31,2293.11,2329000
SET100,20150427,11:19:00,2292.72,2292.76,2292.17,2292.17,3661000
SET100,20150427,11:20:00,2292.09,2293.30,2292.09,2292.99,5101000
SET100,20150427,11:21:00,2292.70,2293.79,2292.70,2293.48,3996000
SET100,20150427,11:22:00,2292.68,2293.25,2292.64,2292.64,1257000
SET100,20150427,11:23:00,2292.98,2293.65,2292.98,2293.65,6015000
SET100,20150427,11:24:00,2294.18,2294.18,2292.22,2292.30,12304000
SET100,20150427,11:25:00,2292.71,2293.00,2292.58,2293.00,3280000
SET100,20150427,11:26:00,2293.76,2293.76,2292.80,2292.80,2172000
SET100,20150427,11:27:00,2292.24,2292.41,2291.60,2291.60,3982000
SET100,20150427,11:28:00,2291.94,2293.22,2291.94,2293.22,1781000
SET100,20150427,11:29:00,2292.97,2292.97,2291.76,2292.78,2890000
SET100,20150427,11:30:00,2293.04,2293.04,2291.44,2291.44,1028000
SET100,20150427,11:31:00,2291.48,2292.28,2291.48,2292.09,6081000
SET100,20150427,11:32:00,2290.04,2291.15,2290.04,2291.08,13537000
SET100,20150427,11:33:00,2291.10,2291.92,2291.10,2291.31,1768000
SET100,20150427,11:34:00,2290.79,2290.79,2289.52,2289.60,29927000
SET100,20150427,11:35:00,2289.33,2289.66,2289.15,2289.15,5436000
SET100,20150427,11:36:00,2289.18,2290.38,2289.18,2290.09,2732000
SET100,20150427,11:37:00,2288.29,2289.22,2288.07,2288.60,6884000
SET100,20150427,11:38:00,2288.91,2290.27,2288.91,2289.97,1844000
SET100,20150427,11:39:00,2291.11,2291.11,2289.91,2290.31,1806000
SET100,20150427,11:40:00,2289.90,2289.90,2289.03,2289.03,8366000
SET100,20150427,11:41:00,2288.95,2289.29,2288.78,2288.78,8095000
SET100,20150427,11:42:00,2288.90,2288.90,2287.58,2287.58,3784000
SET100,20150427,11:43:00,2287.06,2287.19,2286.61,2286.86,2081000
SET100,20150427,11:44:00,2287.39,2287.60,2287.10,2287.60,2343000
SET100,20150427,11:45:00,2287.37,2287.38,2287.02,2287.02,14159000
SET100,20150427,11:46:00,2288.38,2288.97,2287.99,2287.99,13800000
SET100,20150427,11:47:00,2288.44,2288.82,2288.18,2288.18,7106000
SET100,20150427,11:48:00,2287.96,2288.40,2287.96,2288.40,4051000
SET100,20150427,11:49:00,2288.28,2288.28,2287.24,2287.26,6080000
SET100,20150427,11:50:00,2287.89,2288.41,2287.89,2287.89,5248000
SET100,20150427,11:51:00,2287.92,2288.80,2287.92,2288.36,9028000
SET100,20150427,11:52:00,2288.07,2288.31,2287.49,2288.05,11391000
SET100,20150427,11:53:00,2288.74,2288.86,2288.50,2288.58,1478000
SET100,20150427,11:54:00,2289.25,2289.25,2288.33,2288.67,2613000
SET100,20150427,11:55:00,2288.38,2288.82,2287.74,2287.74,1251000
SET100,20150427,11:56:00,2287.93,2288.17,2286.94,2287.07,1847000
SET100,20150427,11:57:00,2286.26,2287.43,2286.26,2287.43,2553000
SET100,20150427,11:58:00,2286.88,2287.74,2286.12,2287.74,746000
SET100,20150427,11:59:00,2288.21,2289.37,2288.21,2289.37,1081000
SET100,20150427,12:00:00,2289.30,2289.30,2288.14,2288.14,2419000
SET100,20150427,12:01:00,2287.77,2288.00,2287.45,2287.45,3499000
SET100,20150427,12:02:00,2287.93,2289.09,2287.62,2288.57,1184000
SET100,20150427,12:03:00,2288.33,2290.00,2288.33,2289.99,1199000
SET100,20150427,12:04:00,2290.56,2290.56,2289.60,2289.63,1066000
SET100,20150427,12:05:00,2290.55,2290.95,2290.55,2290.82,1622000
SET100,20150427,12:06:00,2291.32,2291.32,2290.73,2291.02,1228000
SET100,20150427,12:07:00,2289.74,2290.45,2289.28,2290.45,632000
SET100,20150427,12:08:00,2290.76,2290.76,2289.45,2290.21,650000
SET100,20150427,12:09:00,2290.08,2291.82,2290.08,2291.82,2987000
SET100,20150427,12:10:00,2290.74,2292.53,2290.74,2292.02,485000
SET100,20150427,12:11:00,2291.53,2291.53,2290.63,2290.95,610000
SET100,20150427,12:12:00,2290.81,2291.84,2290.81,2291.84,909000
SET100,20150427,12:13:00,2292.26,2292.26,2290.11,2290.11,774000
SET100,20150427,12:14:00,2290.65,2291.07,2289.90,2291.07,3013000
SET100,20150427,12:15:00,2291.72,2292.65,2291.72,2292.65,663000
SET100,20150427,12:16:00,2292.31,2292.31,2290.58,2291.28,904000
SET100,20150427,12:17:00,2289.85,2290.52,2289.85,2290.52,1136000
SET100,20150427,12:18:00,2291.16,2291.51,2289.93,2289.93,878000
SET100,20150427,12:19:00,2290.26,2292.39,2290.26,2291.75,541000
SET100,20150427,12:20:00,2291.47,2291.47,2291.13,2291.40,2451000
SET100,20150427,12:21:00,2291.99,2291.99,2291.13,2291.62,1951000
SET100,20150427,12:22:00,2290.85,2291.60,2290.69,2291.60,1955000
SET100,20150427,12:23:00,2290.91,2291.00,2289.83,2289.83,2840000
SET100,20150427,12:24:00,2290.79,2291.69,2290.65,2290.65,822000
SET100,20150427,12:25:00,2291.54,2291.54,2290.51,2290.51,2464000
SET100,20150427,12:26:00,2290.94,2291.62,2290.33,2290.33,1749000
SET100,20150427,12:27:00,2290.63,2291.09,2290.42,2291.09,1990000
SET100,20150427,12:28:00,2291.00,2291.00,2290.60,2290.60,4230000
SET100,20150427,12:29:00,2291.08,2291.37,2290.68,2291.37,699000
SET100,20150427,12:30:00,2290.46,2291.39,2290.23,2291.18,2930000
SET100,20150427,14:26:00,2291.18,2291.18,2291.18,2291.18,0
SET100,20150427,14:27:00,2291.18,2291.18,2289.76,2290.89,15277000
SET100,20150427,14:28:00,2290.65,2290.65,2288.26,2288.26,4304000
SET100,20150427,14:29:00,2288.64,2288.64,2288.15,2288.15,11342000
SET100,20150427,14:30:00,2287.57,2288.50,2287.33,2288.50,11748000
SET100,20150427,14:31:00,2288.53,2288.53,2287.90,2288.15,707000
SET100,20150427,14:32:00,2287.95,2288.31,2287.25,2287.45,928000
SET100,20150427,14:33:00,2288.35,2289.35,2288.35,2288.97,3967000
SET100,20150427,14:34:00,2287.92,2287.92,2286.74,2286.77,1439000
SET100,20150427,14:35:00,2286.33,2287.97,2286.33,2287.05,3231000
SET100,20150427,14:36:00,2287.92,2288.32,2287.45,2287.45,2609000
SET100,20150427,14:37:00,2287.80,2288.16,2287.80,2288.16,2351000
SET100,20150427,14:38:00,2288.75,2288.94,2287.38,2288.94,1225000
SET100,20150427,14:39:00,2288.31,2288.31,2287.06,2288.04,8370000
SET100,20150427,14:40:00,2288.08,2288.08,2287.41,2287.98,3812000
SET100,20150427,14:41:00,2287.59,2287.59,2287.15,2287.38,1029000
SET100,20150427,14:42:00,2287.89,2288.08,2287.43,2287.43,3681000
SET100,20150427,14:43:00,2286.78,2287.72,2286.55,2287.02,4482000
SET100,20150427,14:44:00,2287.72,2287.85,2286.82,2287.85,2544000
SET100,20150427,14:45:00,2288.36,2288.41,2287.66,2288.41,10834000
SET100,20150427,14:46:00,2288.23,2289.29,2288.23,2288.72,16150000
SET100,20150427,14:47:00,2288.45,2288.88,2287.19,2287.19,3823000
SET100,20150427,14:48:00,2286.79,2287.17,2286.56,2286.67,1992000
SET100,20150427,14:49:00,2287.61,2287.61,2286.57,2286.57,3211000
SET100,20150427,14:50:00,2286.01,2287.34,2286.01,2286.75,2072000
SET100,20150427,14:51:00,2286.66,2288.17,2286.66,2286.80,2671000
SET100,20150427,14:52:00,2286.55,2287.95,2286.54,2287.95,2132000
SET100,20150427,14:53:00,2286.00,2287.36,2286.00,2287.36,1034000
SET100,20150427,14:54:00,2288.05,2288.75,2288.05,2288.75,2240000
SET100,20150427,14:55:00,2287.34,2288.03,2287.34,2287.40,2532000
SET100,20150427,14:56:00,2287.43,2287.79,2286.49,2287.23,32352000
SET100,20150427,14:57:00,2287.45,2287.45,2286.53,2287.35,2124000
SET100,20150427,14:58:00,2288.02,2288.02,2286.55,2286.58,4951000
SET100,20150427,14:59:00,2286.56,2286.56,2284.71,2284.71,6577000
SET100,20150427,15:00:00,2284.84,2284.84,2284.13,2284.13,5654000
SET100,20150427,15:01:00,2284.43,2284.54,2283.60,2284.54,6422000
SET100,20150427,15:02:00,2284.57,2284.57,2283.22,2283.22,3485000
SET100,20150427,15:03:00,2283.91,2283.91,2281.48,2281.48,11562000
SET100,20150427,15:04:00,2280.86,2281.25,2280.33,2280.33,50353000
SET100,20150427,15:05:00,2280.26,2282.29,2280.26,2282.29,5814000
SET100,20150427,15:06:00,2281.94,2281.94,2281.47,2281.68,3806000
SET100,20150427,15:07:00,2280.97,2280.97,2279.85,2280.34,3446000
SET100,20150427,15:08:00,2280.69,2280.69,2279.54,2279.54,4813000
SET100,20150427,15:09:00,2280.66,2280.79,2280.66,2280.78,2010000
SET100,20150427,15:10:00,2281.65,2281.97,2281.65,2281.97,2268000
SET100,20150427,15:11:00,2280.89,2281.08,2280.62,2281.07,1799000
SET100,20150427,15:12:00,2280.77,2280.77,2280.20,2280.20,4462000
SET100,20150427,15:13:00,2280.31,2280.31,2279.48,2280.20,1454000
SET100,20150427,15:14:00,2280.65,2281.19,2280.20,2280.93,1369000
SET100,20150427,15:15:00,2281.22,2281.98,2281.04,2281.24,4729000
SET100,20150427,15:16:00,2281.44,2283.12,2281.44,2283.12,5731000
SET100,20150427,15:17:00,2282.42,2282.42,2280.69,2281.16,3010000
SET100,20150427,15:18:00,2282.69,2282.69,2281.90,2282.36,2243000
SET100,20150427,15:19:00,2282.16,2282.16,2281.05,2281.67,2980000
SET100,20150427,15:20:00,2281.75,2281.75,2280.56,2281.24,1918000
SET100,20150427,15:21:00,2281.65,2281.92,2280.35,2280.35,1375000
SET100,20150427,15:22:00,2280.46,2281.26,2280.41,2280.41,2175000
SET100,20150427,15:23:00,2279.98,2281.64,2279.98,2281.64,6336000
SET100,20150427,15:24:00,2280.79,2280.93,2280.49,2280.78,10011000
SET100,20150427,15:25:00,2281.15,2282.09,2280.73,2280.73,6799000
SET100,20150427,15:26:00,2279.98,2280.48,2279.98,2280.48,3039000
SET100,20150427,15:27:00,2280.00,2280.14,2278.79,2278.79,4129000
SET100,20150427,15:28:00,2279.65,2279.65,2278.59,2278.59,11688000
SET100,20150427,15:29:00,2277.94,2279.27,2277.94,2279.27,4644000
SET100,20150427,15:30:00,2278.84,2279.87,2278.42,2279.87,2364000
SET100,20150427,15:31:00,2279.66,2279.96,2278.64,2279.96,2731000
SET100,20150427,15:32:00,2278.64,2280.22,2278.40,2280.22,2472000
SET100,20150427,15:33:00,2279.13,2279.13,2278.33,2278.33,4789000
SET100,20150427,15:34:00,2277.83,2278.03,2277.28,2277.95,2300000
SET100,20150427,15:35:00,2277.78,2279.18,2277.78,2278.93,4169000
SET100,20150427,15:36:00,2279.65,2279.65,2278.40,2278.93,7587000
SET100,20150427,15:37:00,2278.79,2278.79,2277.77,2277.90,1396000
SET100,20150427,15:38:00,2277.45,2278.27,2277.22,2278.27,2331000
SET100,20150427,15:39:00,2278.61,2278.61,2276.20,2277.25,3956000
SET100,20150427,15:40:00,2277.48,2277.48,2276.47,2276.96,4195000
SET100,20150427,15:41:00,2277.05,2278.07,2277.05,2277.50,2144000
SET100,20150427,15:42:00,2277.42,2277.88,2277.06,2277.06,1360000
SET100,20150427,15:43:00,2277.99,2277.99,2276.12,2276.29,5385000
SET100,20150427,15:44:00,2275.45,2276.83,2274.56,2274.56,4241000
SET100,20150427,15:45:00,2274.50,2275.33,2274.50,2274.98,3956000
SET100,20150427,15:46:00,2275.55,2275.97,2275.40,2275.97,5367000
SET100,20150427,15:47:00,2275.67,2276.02,2275.39,2276.02,3636000
SET100,20150427,15:48:00,2277.02,2277.65,2276.86,2276.86,4004000
SET100,20150427,15:49:00,2276.52,2276.75,2276.10,2276.75,2173000
SET100,20150427,15:50:00,2276.69,2276.69,2275.12,2275.16,3542000
SET100,20150427,15:51:00,2275.80,2276.51,2275.80,2276.51,2626000
SET100,20150427,15:52:00,2275.28,2277.63,2275.28,2277.63,2258000
SET100,20150427,15:53:00,2276.82,2276.82,2275.58,2275.58,3021000
SET100,20150427,15:54:00,2276.30,2276.50,2275.53,2275.53,1715000
SET100,20150427,15:55:00,2276.73,2276.73,2275.82,2275.82,2318000
SET100,20150427,15:56:00,2276.57,2276.90,2275.70,2276.90,3096000
SET100,20150427,15:57:00,2276.57,2277.85,2276.24,2277.85,1694000
SET100,20150427,15:58:00,2277.07,2277.58,2277.07,2277.22,8946000
SET100,20150427,15:59:00,2276.88,2277.44,2275.74,2275.74,4320000
SET100,20150427,16:00:00,2276.38,2277.13,2276.38,2277.00,1897000
SET100,20150427,16:01:00,2277.75,2278.47,2276.94,2276.94,3089000
SET100,20150427,16:02:00,2277.20,2278.04,2277.06,2278.04,2596000
SET100,20150427,16:03:00,2278.32,2278.32,2276.94,2276.94,1883000
SET100,20150427,16:04:00,2277.48,2277.99,2276.93,2277.99,1628000
SET100,20150427,16:05:00,2278.08,2278.08,2276.94,2276.94,978000
SET100,20150427,16:06:00,2277.32,2277.53,2276.95,2276.98,6234000
SET100,20150427,16:07:00,2278.01,2278.05,2277.48,2277.48,2465000
SET100,20150427,16:08:00,2276.05,2278.28,2276.05,2276.16,3897000
SET100,20150427,16:09:00,2277.79,2277.80,2277.41,2277.80,5790000
SET100,20150427,16:10:00,2277.97,2278.43,2277.08,2277.08,9290000
SET100,20150427,16:11:00,2277.11,2278.32,2277.11,2277.18,2388000
SET100,20150427,16:12:00,2277.57,2277.57,2276.57,2277.00,1144000
SET100,20150427,16:13:00,2278.35,2278.35,2277.01,2277.01,3743000
SET100,20150427,16:14:00,2278.16,2279.41,2276.60,2276.60,3857000
SET100,20150427,16:15:00,2278.83,2279.22,2277.20,2279.22,4138000
SET100,20150427,16:16:00,2276.63,2278.20,2276.63,2277.09,21007000
SET100,20150427,16:17:00,2277.44,2277.99,2276.65,2277.99,1943000
SET100,20150427,16:18:00,2278.00,2278.23,2277.43,2277.43,4938000
SET100,20150427,16:19:00,2278.26,2278.26,2277.81,2278.16,4717000
SET100,20150427,16:20:00,2276.70,2279.07,2276.70,2279.07,20279000
SET100,20150427,16:21:00,2279.09,2279.27,2277.91,2277.91,6289000
SET100,20150427,16:22:00,2278.15,2278.65,2278.15,2278.54,3112000
SET100,20150427,16:23:00,2278.65,2278.65,2277.50,2278.16,7085000
SET100,20150427,16:24:00,2278.69,2280.51,2278.69,2280.51,5952000
SET100,20150427,16:25:00,2279.64,2279.64,2278.06,2278.06,13318000
SET100,20150427,16:26:00,2279.02,2279.02,2278.76,2278.79,10146000
SET100,20150427,16:27:00,2279.13,2279.13,2278.33,2278.94,3927000
SET100,20150427,16:28:00,2279.43,2279.43,2278.62,2279.15,9026000
SET100,20150427,16:29:00,2278.68,2279.73,2277.48,2278.57,7758000
SET100,20150427,16:30:00,2278.26,2278.46,2276.84,2278.17,9459000
SET100,20150427,16:31:00,2278.78,2278.78,2278.78,2278.78,6604000
SET100,20150427,16:32:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:33:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:34:00,2278.78,2278.78,2278.78,2278.78,50000
SET100,20150427,16:35:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:36:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:37:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:38:00,2278.78,2278.78,2278.78,2278.78,0
SET100,20150427,16:39:00,2278.78,2278.78,2276.90,2276.90,168954000
SET100,20150427,16:40:00,2276.90,2276.90,2276.90,2276.90,440000
SET100,20150428,09:58:00,2275.41,2275.41,2275.41,2275.41,33055000
SET100,20150428,09:59:00,2274.28,2274.28,2273.97,2273.97,10743000
SET100,20150428,10:00:00,2272.14,2272.14,2270.80,2270.80,24068000
SET100,20150428,10:01:00,2271.10,2272.31,2271.10,2272.31,6250000
SET100,20150428,10:02:00,2272.20,2272.20,2270.76,2270.76,5889000
SET100,20150428,10:03:00,2271.40,2271.60,2270.47,2270.47,30369000
SET100,20150428,10:04:00,2270.11,2270.86,2270.04,2270.24,14776000
SET100,20150428,10:05:00,2270.16,2271.82,2270.16,2270.21,7475000
SET100,20150428,10:06:00,2269.58,2271.32,2269.55,2271.32,11726000
SET100,20150428,10:07:00,2270.17,2270.73,2269.72,2270.73,3804000
SET100,20150428,10:08:00,2270.46,2271.08,2270.19,2270.98,4455000
SET100,20150428,10:09:00,2270.20,2270.46,2269.81,2269.81,9544000
SET100,20150428,10:10:00,2267.85,2270.39,2267.85,2268.93,1683000
SET100,20150428,10:11:00,2268.92,2270.79,2268.92,2269.96,2543000
SET100,20150428,10:12:00,2269.07,2269.07,2268.05,2268.05,1663000
SET100,20150428,10:13:00,2267.34,2268.48,2267.34,2268.48,12805000
SET100,20150428,10:14:00,2268.42,2268.48,2267.56,2268.24,29488000
SET100,20150428,10:15:00,2266.88,2266.88,2266.09,2266.17,30897000
SET100,20150428,10:16:00,2265.69,2266.21,2265.36,2265.36,18696000
SET100,20150428,10:17:00,2264.08,2264.08,2263.12,2263.68,25187000
SET100,20150428,10:18:00,2262.45,2262.72,2261.79,2261.79,16425000
SET100,20150428,10:19:00,2261.64,2261.64,2259.45,2259.45,20155000
SET100,20150428,10:20:00,2259.36,2259.93,2259.36,2259.43,17724000
SET100,20150428,10:21:00,2258.18,2258.18,2256.51,2256.51,18865000
SET100,20150428,10:22:00,2256.03,2256.03,2254.66,2255.19,29106000
SET100,20150428,10:23:00,2254.51,2254.51,2252.20,2252.20,29637000
SET100,20150428,10:24:00,2252.97,2254.31,2252.97,2254.09,37136000
SET100,20150428,10:25:00,2253.26,2254.58,2253.26,2254.34,15140000
SET100,20150428,10:26:00,2254.69,2255.51,2254.69,2254.93,14900000
SET100,20150428,10:27:00,2253.93,2255.42,2253.64,2253.64,16934000
SET100,20150428,10:28:00,2253.92,2254.62,2253.03,2253.03,14473000
SET100,20150428,10:29:00,2253.95,2253.95,2252.41,2252.43,20824000
SET100,20150428,10:30:00,2254.26,2254.63,2254.08,2254.59,20116000
SET100,20150428,10:31:00,2255.28,2257.66,2255.28,2257.66,7978000
SET100,20150428,10:32:00,2256.36,2257.70,2256.36,2257.70,6213000
SET100,20150428,10:33:00,2257.49,2258.74,2257.49,2258.33,21733000
SET100,20150428,10:34:00,2258.64,2259.49,2258.64,2259.39,8220000
SET100,20150428,10:35:00,2259.77,2259.77,2258.59,2259.44,8051000
SET100,20150428,10:36:00,2258.81,2260.12,2258.81,2260.12,7453000
SET100,20150428,10:37:00,2259.58,2260.48,2259.58,2259.64,3753000
SET100,20150428,10:38:00,2259.93,2260.80,2259.93,2260.80,4883000
SET100,20150428,10:39:00,2260.60,2260.97,2260.60,2260.93,17802000
SET100,20150428,10:40:00,2260.47,2260.47,2259.05,2259.05,5642000
SET100,20150428,10:41:00,2259.57,2261.08,2259.34,2259.34,5372000
SET100,20150428,10:42:00,2259.58,2261.42,2259.58,2261.33,5450000
SET100,20150428,10:43:00,2260.89,2263.01,2260.89,2262.20,5500000
SET100,20150428,10:44:00,2261.48,2263.20,2261.48,2262.90,8583000
SET100,20150428,10:45:00,2262.51,2263.15,2261.64,2261.64,10492000
SET100,20150428,10:46:00,2261.45,2263.12,2261.41,2261.41,1966000
SET100,20150428,10:47:00,2262.16,2262.66,2262.16,2262.66,3326000
SET100,20150428,10:48:00,2263.16,2263.16,2262.49,2263.13,853000
SET100,20150428,10:49:00,2263.40,2263.40,2262.16,2263.33,2964000
SET100,20150428,10:50:00,2263.35,2263.35,2261.52,2263.20,4414000
SET100,20150428,10:51:00,2263.07,2264.19,2263.07,2264.13,10285000
SET100,20150428,10:52:00,2263.97,2263.97,2262.34,2263.01,2801000
SET100,20150428,10:53:00,2262.67,2263.26,2262.43,2263.26,2362000
SET100,20150428,10:54:00,2262.99,2263.50,2262.72,2263.50,1599000
SET100,20150428,10:55:00,2263.62,2263.62,2262.23,2262.75,4957000
SET100,20150428,10:56:00,2262.34,2262.80,2261.04,2261.56,4454000
SET100,20150428,10:57:00,2262.58,2262.58,2261.37,2261.37,9398000
SET100,20150428,10:58:00,2261.85,2261.85,2259.64,2259.64,3486000
SET100,20150428,10:59:00,2260.94,2261.19,2260.43,2260.76,8371000
SET100,20150428,11:00:00,2261.10,2261.10,2260.35,2260.44,6375000
SET100,20150428,11:01:00,2260.42,2260.68,2259.96,2259.96,3798000
SET100,20150428,11:02:00,2261.76,2261.76,2260.42,2260.42,2477000
SET100,20150428,11:03:00,2260.30,2260.30,2258.89,2258.89,3681000
SET100,20150428,11:04:00,2258.98,2259.85,2258.79,2258.79,2056000
SET100,20150428,11:05:00,2259.68,2259.68,2258.38,2259.27,2281000
SET100,20150428,11:06:00,2258.09,2258.29,2257.58,2258.29,7453000
SET100,20150428,11:07:00,2260.35,2260.35,2258.52,2258.52,4287000
SET100,20150428,11:08:00,2257.98,2258.07,2257.11,2258.07,5277000
SET100,20150428,11:09:00,2257.66,2257.66,2255.99,2257.50,2510000
SET100,20150428,11:10:00,2257.80,2257.80,2256.47,2256.47,1888000
SET100,20150428,11:11:00,2255.96,2256.29,2255.57,2256.29,5270000
SET100,20150428,11:12:00,2256.73,2256.73,2256.37,2256.72,2825000
SET100,20150428,11:13:00,2256.65,2257.82,2256.65,2257.53,3714000
